filedFor,year_quarter,Communication Services_w,Consumer Cyclical_w,Consumer Defensive_w,Energy_w,Financial Services_w,Healthcare_w,Industrials_w,Technology_w,Utilities_w,Communication Services_logp,Consumer Cyclical_logp,Consumer Defensive_logp,Energy_logp,Financial Services_logp,Healthcare_logp,Industrials_logp,Technology_logp,Utilities_logp,portfolio_value,PPI
2002-03-31,2002Q1,1.585525361101453,7.816681278180012,65.8867595971519,0.0,12.0410442308068,0.0,12.669989532759836,0.0,0.0,4.94556331906551,5.494665092567373,5.466666758038366,5.41498867335173,5.898005146840249,5.91886694593901,5.562526124991417,5.754475608311122,5.0058237289217615,17455413000,129.8
2002-06-30,2002Q2,1.5358854286324592,7.003740602381262,67.55770942062367,0.0,12.242720564755455,0.0,11.659943983607162,0.0,0.0,4.642851217688932,5.35242666906693,5.440684634302936,5.358612487853522,5.803869067315105,5.708239183220393,5.391215554476817,5.444579873526289,4.762515764534214,17972239000,130.9
2002-09-30,2002Q3,1.8016619098401585,7.077948256412469,66.04069090079705,0.0,12.50477429217805,0.0,12.49034970380279,0.0845749369694802,0.0,4.3694478524670215,5.19028664613369,5.315813408167131,5.15109261850503,5.627657119393593,5.6872126411490065,5.2117241039297335,5.193623268324707,4.547752895725483,16222300000,132.3
2002-12-31,2002Q4,1.6887691109919865,7.846569704839128,63.88651243587314,0.0,13.095934423764266,0.0,13.482214324531478,0.0,0.0,4.680092101179473,5.208119098629888,5.321154576587962,5.210196309815951,5.693429074910782,5.731981085500282,5.260096153727839,5.394399966908532,4.58251551727507,15720207000,132.9
2003-03-31,2003Q1,1.804293507034864,8.52673652952029,61.70981388627362,0.0,13.629551726221514,0.0,13.154525047853364,1.1750793030963411,0.0,4.516666774060043,5.192067546342173,5.248338996741795,5.210087068486874,5.635039598075843,5.74046789800696,5.20367697581266,5.388934739706401,4.539030367181421,15027156000,141.2
2003-06-30,2003Q2,1.794305531596105,8.323228391238654,63.1286987370936,0.0,13.489955288816663,0.0,12.099445701728492,1.1643663495264844,0.0,4.702750514326955,5.36480710781687,5.330155129309042,5.272076092937608,5.798880488548207,5.831941094373923,5.345916345347316,5.554973017897679,4.722508651266526,16677483000,138.0
2003-09-30,2003Q3,1.9102346703636304,8.777389523463707,61.17275019910576,0.0,14.500727155212312,0.0,13.26764674888961,0.3712517029649771,0.0,4.596331265030552,5.384953701192524,5.337345785799931,5.276327317460328,5.83422573496753,5.780280464475663,5.3858244232296295,5.657110092038305,4.7073657175897825,15923698000,138.5
2003-12-31,2003Q4,1.9023857256976615,8.626089597302883,63.364179124184936,0.0,13.917219213443335,0.0,11.881617082332957,0.3085092570382319,0.0,4.712408933916262,5.516247338538519,5.409411414053624,5.4122708539008,5.939697475569493,5.856961264242846,5.52042039868253,5.776599148587745,4.773984254268113,54529320000,139.5
2004-03-31,2004Q1,1.829996629256753,8.266385425235054,62.67707760454822,0.0,14.839031865422966,0.0,12.387508475537016,0.0,0.0,4.753159037381939,5.526448459373285,5.459542983423417,5.457242332518927,5.981616177151595,5.84805595676794,5.505981745890733,5.750252454082805,4.8147014900835075,36977008000,143.1
2004-06-30,2004Q2,1.769120662583443,8.22833332393205,64.0903116821055,0.0,14.227604185976949,0.0,11.684630145402068,0.0,0.0,4.73532088384979,5.52142093903576,5.4593727125598575,5.524735579596999,5.951657700297862,5.871159594390024,5.582668894310453,5.77743555878909,4.791732754765883,18259919000,147.2
2004-09-30,2004Q3,1.9883923405811337,8.965315817108802,58.876368411597745,0.0,17.516244976334562,0.0,12.653678454377754,0.0,0.0,4.788990621445104,5.507645958532938,5.39698556322996,5.623837028555773,5.949287496857821,5.8120387569108525,5.577765675612066,5.67205099729549,4.847410261736004,16304579000,147.7
2004-12-31,2004Q4,1.8487723463542185,7.323220219137688,58.46580293048931,0.0,19.037013816023567,0.0,13.32519068799522,0.0,0.0,4.860587345130021,5.630853272749199,5.468017969330994,5.665145607958486,6.018739183303569,5.859303674852162,5.668397089278836,5.797728050457213,4.953006224363542,17149218000,150.2
2005-03-31,2005Q1,1.879704037131179,7.335999862684443,59.2802081215812,0.0,18.22974052802257,0.0,13.274347450580605,0.0,0.0,4.770515147028341,5.5700224937793985,5.46873503428068,5.822779598674465,5.946624050292827,5.849036536381251,5.6477763507766685,5.720082218050309,4.996401167087179,16720611000,153.7
2005-06-30,2005Q2,1.6640639221067202,6.889142576828192,59.959663315401635,0.0,18.89356229324729,0.0,12.593567892416162,0.0,0.0,4.796534040523403,5.558332777110733,5.456346254223955,5.837934529325819,5.9823986120488435,5.885770656116809,5.60906883726267,5.736314242985138,5.076672725638416,17645476000,154.3
2005-09-30,2005Q3,1.510354392350833,5.875528159414668,56.51935613326453,0.0,24.449839488119174,0.0,11.644921826850796,0.0,0.0,4.776767789701273,5.546777740128277,5.4825953467167015,6.001315842005465,5.983180358291727,5.896521769590768,5.6282324858571515,5.7924036290704635,5.138324612262206,19349035000,162.2
2005-12-31,2005Q4,1.0323974183878004,4.221291819513397,63.260316491420745,0.0,21.64331691053404,0.0,9.842677360144014,0.0,0.0,4.765842413975779,5.554470128160384,5.481346998301677,5.9682982597063,6.0553778585375735,5.927832272106348,5.671947772139333,5.832673920647911,5.093197923557418,50917020000,163.0
2006-03-31,2006Q1,1.0340965493550256,3.5518412421669368,61.583344318388725,0.0,22.836874458911797,0.4375133484830216,10.556330082694496,0.0,0.0,4.891401201588273,5.581012008687198,5.491084198820473,6.003343706622339,6.080962441457248,5.915285210249134,5.735055014016577,5.84081605367302,5.052416789086174,26665015000,162.2
2006-06-30,2006Q2,0.9553576514710695,2.3358591570561855,60.58812748727721,0.0,20.91538243222732,5.418351150322618,9.786922121645604,0.0,0.0,4.877103901471733,5.573711767563356,5.513912480425678,6.041087712101386,6.073344039665362,5.85990264930154,5.730424425412799,5.737926262479704,5.098646190049969,27631118000,166.1
