filedFor,year_quarter,Basic Materials_w,Communication Services_w,Consumer Cyclical_w,Consumer Defensive_w,Energy_w,Financial Services_w,Healthcare_w,Industrials_w,Real Estate_w,Technology_w,Utilities_w,Basic Materials_logp,Communication Services_logp,Consumer Cyclical_logp,Consumer Defensive_logp,Energy_logp,Financial Services_logp,Healthcare_logp,Industrials_logp,Real Estate_logp,Technology_logp,Utilities_logp,portfolio_value
2002-03-31,2002Q1,0.1445538969840306,2.135966505940736,5.547781591706151,47.62022507899552,,41.50549992630928,,2.942094345785439,0.1038786542788318,,,4.98449666990073,4.94556331906551,5.494665092567373,5.466666758038366,,5.898005146840249,,5.562526124991417,4.572853581359557,,,31476149000
2002-06-30,2002Q2,0.1492439585258826,1.6776755026261958,5.1145735994935695,50.1260697998018,,39.96080447422951,,2.7593096518789535,0.2123230134440948,,,4.959061305678293,4.642851217688932,5.35242666906693,5.440684634302936,,5.803869067315105,,5.391215554476817,4.565597439442779,,,31140289000
2002-09-30,2002Q3,0.0933152440536386,1.6989978265802943,4.865722414497485,49.30058968415051,0.0069160952035139,40.91621859497893,,2.470621579659832,0.5983768243982611,0.0492417364775354,,4.695650550267494,4.3694478524670215,5.19028664613369,5.315813408167131,5.15109261850503,5.627657119393593,,5.2117241039297335,4.42328856536701,5.193623268324707,,27862543000
2002-12-31,2002Q4,0.1944070584716614,1.7247348250557692,5.141113686097639,46.38543212432849,0.0154180636632236,42.4265965137691,,3.1775864677821404,0.9347112608319772,,,4.809660868702075,4.680092101179473,5.208119098629888,5.321154576587962,5.210196309815951,5.693429074910782,,5.260096153727839,4.412555880408674,,,28252575000
2003-03-31,2003Q1,0.0989028151823136,1.855828664040231,5.412686992707014,45.359406027146335,0.0548427814661098,41.95844399244037,,3.209619469223997,1.111895879915011,0.6823599294366454,0.2560134484419697,4.727918629653245,4.516666774060043,5.192067546342173,5.248338996741795,5.210087068486874,5.635039598075843,,5.20367697581266,4.409763389645481,5.388934739706401,4.539030367181421,27339970000
2003-06-30,2003Q2,0.3948875523321931,1.839322269362168,5.025265449168124,44.05836840904697,0.0636360491215814,42.85534268149943,1.7015400870338562,2.3292290394486588,0.5951642869708914,1.046739785985655,0.0905043900304674,4.8501535206274085,4.702750514326955,5.36480710781687,5.330155129309042,5.272076092937608,5.798880488548207,5.831941094373923,5.345916345347316,4.4833414638343765,5.554973017897679,4.722508651266526,31274726000
2003-09-30,2003Q3,0.3610530066152669,1.7707578253229033,4.9021628834287245,41.8040033129497,0.0712375689475598,46.19043648363627,2.12591464237806,1.8933405728660448,0.5804814731735941,0.2191964853297326,0.0814157453521433,4.905348809082064,4.596331265030552,5.384953701192524,5.337345785799931,5.276327317460328,5.83422573496753,5.780280464475663,5.3858244232296295,4.557973744758631,5.657110092038305,4.7073657175897825,31036994000
2003-12-31,2003Q4,0.3092151897135169,1.8650523531274503,4.9471214895154505,43.81985333487599,0.1079360686362693,44.736299345453126,1.9088055632034355,1.5750409181513525,0.5696845950516957,0.160991142271716,,5.1080039376755675,4.712408933916262,5.516247338538519,5.409411414053624,5.4122708539008,5.939697475569493,5.856961264242846,5.52042039868253,4.6014632964889435,5.776599148587745,,104495190000
2004-03-31,2004Q1,0.3173541155777533,1.853358084451284,4.727114960631592,43.378169168935315,0.0940044846908637,45.83757772537844,1.754903914575647,1.4122837383910043,0.6252338073681035,,,5.084938530620289,4.753159037381939,5.526448459373285,5.459542983423417,5.457242332518927,5.981616177151595,5.84805595676794,5.505981745890733,4.673949727023152,,,71645518000
2004-06-30,2004Q2,0.3156541939384671,2.2109853957657752,5.0399370094887965,44.16893308606213,0.0842821835237295,44.37096613442366,1.6734451151194465,1.4667740743572666,0.6690228073207244,,,5.104429173382616,4.73532088384979,5.52142093903576,5.4593727125598575,5.524735579596999,5.951657700297862,5.871159594390024,5.582668894310453,4.616209039139818,,,36201008000
